County,District,City,Zip,Plus4,C,State,MailZip,DOCType,StatusType,LastUpDate
San Mateo,Belmont-Redwood Shores Elementary,Belmont,94002,2943,1,CA,94002-2943,Elementary School District,Active,6/23/2015
San Mateo,Brisbane Elementary,Brisbane,94005,1342,1,CA,94005-1342,Elementary School District,Active,7/1/2016
San Mateo,Burlingame Elementary,Burlingame,94010,4509,2,CA,94010-4509,Elementary School District,Active,8/6/2015
San Mateo,Hillsborough City Elementary,Hillsborough,94010,6818,2,CA,94010-6818,Elementary School District,Active,7/19/2018
San Mateo,Bayshore Elementary,Daly City,94014,1603,1,CA,94014-1603,Elementary School District,Active,6/17/2017
San Mateo,Jefferson Elementary,Daly City,94015,3934,2,CA,94015-3934,Elementary School District,Active,1/13/2017
San Mateo,Cabrillo Unified,Half Moon Bay,94019,1636,1,CA,94019-1636,Unified School District,Active,8/31/2015
Santa Clara,Los Altos Elementary,Los Altos,94024,4030,1,CA,94024-4030,Elementary School District,Active,2/9/2017
San Mateo,Las Lomitas Elementary,Menlo Park,94025,6706,1,CA,94025-6706,Elementary School District,Active,2/9/2017
San Mateo,Menlo Park City Elementary,Atherton,94027,3102,1,CA,94027-3102,Elementary School District,Active,8/15/2017
San Mateo,Portola Valley Elementary,Portola Valley,94028,8040,1,CA,94028-8040,Elementary School District,Active,9/7/2018
San Mateo,Millbrae Elementary,Millbrae,94030,1600,1,CA,94030-1600,Elementary School District,Active,8/16/2016
Santa Clara,Mountain View-Los Altos Union High,Mountain View,94040,4527,1,CA,94040-4527,High School District,Active,8/11/2015
Santa Clara,Mountain View Whisman,Mountain View,94043,3133,1,CA,94043-3133,Elementary School District,Active,7/6/2015
San Mateo,Pacifica,Pacifica,94044,3052,1,CA,94044-3052,Elementary School District,Active,7/27/2018
San Mateo,La Honda-Pescadero Unified,Pescadero,94060,8844,1,CA,94060-8844,Unified School District,Active,9/5/2018
San Mateo,Sequoia Union High,Redwood City,94062,1041,2,CA,94062-1041,High School District,Active,7/19/2017
San Mateo,Woodside Elementary,Woodside,94062,2552,2,CA,94062-2552,Elementary School District,Active,9/24/2018
San Mateo,Redwood City Elementary,Redwood City,94063,1727,1,CA,94063-1727,Elementary School District,Active,9/12/2018
San Mateo,San Bruno Park Elementary,San Bruno,94066,4298,1,CA,94066-4298,Elementary School District,Active,9/7/2017
San Mateo,San Carlos Elementary,San Carlos,94070,4129,1,CA,94070-4129,Elementary School District,Active,7/26/2018
San Mateo,South San Francisco Unified,South San Francisco,94080,4423,1,CA,94080-4423,Unified School District,Active,8/12/2015
Santa Clara,Cupertino Union,Sunnyvale,94087,3050,4,CA,95014-2091,Elementary School District,Active,6/22/2018
